NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;CO_MUNICIPIO;NO_ENTIDADE;CO_ENTIDADE;TP_DEPENDENCIA;TP_LOCALIZACAO;LATITUDE;LONGITUDE;TP_SITUACAO_FUNCIONAMENTO;IN_EJA;IN_PROFISSIONALIZANTE;IN_COMUM_CRECHE;IN_COMUM_PRE;IN_COMUM_FUND_AI;IN_COMUM_FUND_AF;IN_COMUM_MEDIO_MEDIO;IN_COMUM_MEDIO_INTEGRADO;IN_COMUM_MEDIO_FIC;IN_COMUM_MEDIO_NORMAL
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEIF MAE IAIA;25033158;3;1;-7.513369182;-37.63800206;1;0;0;0;0;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;ECI JOSE NOMINANDO;25033204;2;1;-7.516552932;-37.63704113;1;1;0;0;0;0;0;1;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF GUALTERINA ALENCAR VIDAL;25033301;3;2;-7.4751027;-37.6990299;3;;;;;;;;;;
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF JOSE BATISTA DIAS;25033352;3;2;-7.53291931;-37.68181085;3;;;;;;;;;;
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF MANOEL VICENTE LEITE;25033395;3;2;-7.3998051;-37.6680765;3;;;;;;;;;;
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF SEVERINO FIRMINO DE SANTANA;25033425;3;2;-7.492402;-37.5949749;1;0;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF INOCENCIO SALES;25033433;3;2;-7.491909012;-37.64558201;3;;;;;;;;;;
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF ANDRE ALVES DO NASCIMENTO;25033476;3;2;-7.5091818;-37.6803082;1;0;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF JOSE GOMES DE SALES;25033514;3;2;-7.4354702;-37.6551403;1;1;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF ANISIO BARBOSA DE SOUZA;25033522;3;2;-7.3852309;-37.6812613;3;;;;;;;;;;
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF AUGUSTO DOS ANJOS;25033549;3;2;-7.588269;-37.737226;1;1;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEIF DELFINO JOSE DOS SANTOS;25033557;3;2;-7.4318906;-37.6283386;1;1;0;1;1;1;1;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF FRANCISCO ALVES DA SILVA;25033565;3;2;-7.559866874;-37.74248876;3;;;;;;;;;;
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF FRANCISCO LOPES DA SILVA;25033573;3;2;-7.4616479;-37.5769661;1;0;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF MANOEL GONCALVES DE MOURA;25033654;3;2;-7.523557859;-37.6690176;1;1;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF ANTONIO VIRGOLINO BATISTA;25033670;3;1;-7.51393225;-37.63787107;1;1;0;0;0;0;1;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEIF MARIA DE LOURDES GUILHERME;25104969;3;2;-7.43182476;-37.69901654;1;1;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF JOAQUIM MINERVINO DE SOUSA;25105515;3;2;-7.482851;-37.6656537;1;0;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;CRECHE MARIA JOSE BARBOSA DE OLIVEIRA - DONA ZEZE;25126989;3;1;-7.5162411;-37.6345669;1;0;0;1;1;0;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500106;EMEF TIAGO DE OLIVEIRA LIMA;25178806;3;2;-7.499322065;-37.68701859;1;1;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500205;ECI EEM AGENOR MENDES PEDROSA;25023489;2;1;-7.097710907;-38.17083777;1;1;0;0;0;0;1;1;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500205;ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LIDIA CABRAL DE SOUSA;25023535;3;1;-7.09063148;-38.17081923;1;1;0;0;0;0;1;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500205;EMEF JOANA LACERDA LEITE;25023578;3;1;-7.093339;-38.17155;1;0;0;0;0;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500205;ESCOLA PARTICULAR TURMA DA MONICA;25023659;4;1;;;2;;;;;;;;;;
2025;Nordeste;2;Paraíba;PB;25;2500205;EMEF AMELIA ARANTES LEITE;25023705;3;1;-7.094628233;-38.16604878;1;1;0;0;0;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500205;EMEF DOZINHA BENTO;25023772;3;1;-7.09344103;-38.17127735;2;;;;;;;;;;
2025;Nordeste;2;Paraíba;PB;25;2500205;EMEIEF ADVOGADO HORACIO RAMALHO;25128930;3;2;-7.10338839;-38.2691514;1;1;0;1;1;1;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500205;CRECHE MUNICIPAL FRANCISCO CIRINO LOPES;25160800;3;1;-7.09458895;-38.16576672;1;0;0;1;1;0;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500304;CRECHE MARIA JUREMA DE PAIVA;25062573;3;2;-7.101393915;-35.63459901;1;0;0;1;0;0;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500304;CRECHE LIDIA MESQUITA RAMALHO;25062581;3;1;-7.05545177;-35.65097984;1;0;0;1;0;0;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500304;CRECHE LILIOSA DE JESUS ONOFRE;25062590;3;2;;;1;0;0;1;0;0;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500304;CRECHE MUNICIPAL MARIA DE LOURDES MESQUITA DE PAIVA;25062603;3;1;-7.042016667;-35.63532667;1;0;0;1;0;0;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500304;CRECHE PEREGRINA MARIA DE MIRANDA MONTENEGRO;25062611;3;1;;;1;0;0;1;0;0;0;0;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500304;EEEFM PADRE HILDON BANDEIRA;25062638;2;1;-7.0418267;-35.6266626;1;1;0;0;0;0;1;1;0;0;0
2025;Nordeste;2;Paraíba;PB;25;2500304;EEEF DEMONSTRACAO ALAGOA GRANDE;25062670;2;1;-7.044546667;-35.62541833;1;0;0;0;0;0;1;0;0;0;0
